year,week,dengue_fever,dengue,bone_pain,rain,mosquito_bite,fever,rashes,rash,mosquito
2012,18,88,61,23,83,0,95,52,69,61
2012,19,76,91,21,87,89,90,46,71,71
2012,20,0,53,0,100,0,76,64,57,78
2012,21,0,72,28,78,34,81,65,70,90
2012,22,28,54,40,78,0,90,39,80,39
2012,23,41,25,0,84,0,100,37,61,68
2012,24,62,73,43,55,0,87,59,31,80
2012,25,53,57,0,44,0,92,100,73,77
2012,26,55,57,0,47,79,70,76,43,65
2012,27,64,57,24,44,0,70,67,59,59
2012,28,54,47,0,59,0,81,53,59,56
2012,29,87,100,0,48,0,96,54,93,61
2012,30,83,56,28,50,0,90,52,64,80
2012,31,59,71,24,33,100,85,66,31,85
2012,32,75,38,45,48,0,76,56,89,96
2012,33,52,49,62,42,81,65,78,70,62
2012,34,52,70,47,34,0,92,63,58,86
2012,35,50,44,0,46,0,96,26,57,95
2012,36,0,42,21,44,0,86,53,100,78
2012,37,67,56,0,47,0,55,51,73,85
2012,38,27,55,28,35,0,58,78,72,64
2012,39,61,54,0,36,24,79,64,65,83
2012,40,22,51,22,44,0,80,94,87,70
2012,41,57,53,43,48,0,85,68,72,39
2012,42,34,33,0,43,35,81,92,57,55
2012,43,67,55,21,48,0,89,60,68,57
2012,44,58,59,51,40,0,68,61,86,72
2012,45,61,44,0,41,0,86,94,85,50
2012,46,100,66,21,42,0,85,78,29,61
2012,47,59,59,54,44,39,87,69,93,57
2012,48,14,17,46,46,0,79,55,69,73
2012,49,63,60,45,36,0,89,42,71,84
2012,50,33,32,0,49,0,94,49,65,67
2012,51,60,59,87,47,0,86,90,76,50
2012,52,63,49,36,57,51,86,55,62,61
2012,53,28,34,39,42,36,90,59,100,71
